file,num_elements,power_mean_us,tim_mean_us,atim_mean_us,apower_mean_us,ratio_power_tim,ratio_apower_atim
TrackA/1,1,0.02847,0.0262,0.0451,0.04069,1.08664,0.902217
TrackA/10,1025,32.508,32.8598,40.1432,39.7553,0.989294,0.990338
TrackA/100,2,0.03166,0.02771,0.05201,0.04792,1.14255,0.921361
TrackA/101,1,0.02841,0.02647,0.04486,0.04009,1.07329,0.893669
TrackA/102,2,0.03047,0.02785,0.04942,0.04659,1.09408,0.942736
TrackA/103,260,3.4569,3.38219,4.9735,4.92661,1.02209,0.990572
TrackA/104,1024,4.72391,4.40018,8.80311,9.61883,1.07357,1.09266
TrackA/105,128,3.11624,3.08862,4.07095,3.71614,1.00894,0.912843
TrackA/106,130,1.30552,1.26611,1.90372,1.93637,1.03113,1.01715
TrackA/107,130,1.30327,1.27017,1.94301,2.48319,1.02606,1.27801
TrackA/108,257,5.43746,5.38618,7.17531,6.77192,1.00952,0.943781
TrackA/109,138,1.41599,1.42448,2.18672,2.18543,0.99404,0.99941
TrackA/11,10000,552.862,535.841,675.485,673.525,1.03177,0.997099
TrackA/110,139,1.56394,1.54247,2.34506,2.29617,1.01392,0.979152
TrackA/111,134,0.81085,0.7155,1.35333,1.37513,1.13326,1.01611
TrackA/112,213,2.76162,2.87956,3.87096,3.98869,0.959042,1.03041
TrackA/113,262,3.03114,3.03051,4.64547,4.38505,1.00021,0.943941
TrackA/114,172,1.81391,1.80016,2.76111,2.83718,1.00764,1.02755
TrackA/115,129,2.67309,2.6674,3.37956,3.2646,1.00213,0.965984
TrackA/116,584,3.14038,2.92893,5.52624,5.63141,1.07219,1.01903
TrackA/117,395,1.9225,2.05228,3.84847,3.69074,0.936763,0.959015
TrackA/118,324,1.84925,1.43805,2.76642,2.86862,1.28594,1.03694
TrackA/119,198,0.93256,0.94792,1.91659,1.82816,0.983796,0.953861
TrackA/12,1025,34.4506,32.9311,40.8578,40.5857,1.04614,0.993339
TrackA/120,323,1.41803,1.48875,2.84288,2.7016,0.952497,0.950304
TrackA/121,10304,88.5025,95.7515,144.736,142.087,0.924294,0.9817
TrackA/122,10304,88.2792,100.765,154.001,146.029,0.876089,0.948233
TrackA/123,10335,88.4458,89.7587,145.083,144.389,0.985373,0.995218
TrackA/124,10205,86.3629,93.9992,147.95,151.151,0.918763,1.02164
TrackA/125,10205,88.3611,95.9888,156.108,143.059,0.920536,0.916412
TrackA/126,10205,88.3531,93.6103,153.053,143.299,0.943839,0.936268
TrackA/127,10075,83.6031,96.6397,145.301,136.705,0.865101,0.940841
TrackA/128,10205,87.2649,95.2017,151.011,144.368,0.916632,0.956011
TrackA/129,10985,95.3511,97.2723,161.661,160.193,0.98025,0.990917
TrackA/13,71,1.07032,1.09653,1.53276,1.50934,0.976097,0.98472
TrackA/130,10725,90.777,98.4367,154.975,149.811,0.922186,0.966677
TrackA/131,10855,94.3624,103.599,158.845,151.993,0.910843,0.956861
TrackA/132,10205,85.358,92.5835,142.157,137.461,0.921956,0.966965
TrackA/133,10270,86.4637,86.0354,147.009,139.094,1.00498,0.94616
TrackA/134,10790,94.0184,102.856,153.629,147.616,0.914073,0.960857
TrackA/135,10725,92.225,99.5745,161.806,146.775,0.926191,0.907104
TrackA/136,10595,89.6199,95.6623,153.393,149.526,0.936836,0.974791
TrackA/137,10465,91.3212,98.1528,162.77,145.45,0.930398,0.893591
TrackA/138,10400,88.8068,96.3445,151.103,150.59,0.921764,0.996605
TrackA/139,11050,102.353,110.953,164.356,153.287,0.922488,0.932652
TrackA/140,11700,103.882,112.409,175.853,166.261,0.924148,0.945452
TrackA/141,198,0.74425,0.70093,1.59018,1.5764,1.0618,0.991334
TrackA/142,198,0.77242,0.88017,1.68191,1.583,0.87758,0.941192
TrackA/143,10855,96.78,105.149,164.68,154.755,0.920408,0.939737
TrackA/144,10660,93.3025,96.2483,167.729,147.15,0.969394,0.877308
TrackA/145,10465,131.858,137.034,197.304,198.773,0.962231,1.00745
TrackA/146,11440,152.222,160.04,226.791,218.186,0.951149,0.962059
TrackA/147,11505,164.455,180.49,232.956,216.702,0.911158,0.930227
TrackA/148,11570,147.726,155.928,228.715,220.126,0.947394,0.962447
TrackA/149,11830,56.1946,42.7553,94.385,92.3476,1.31433,0.978415
TrackA/15,1025,34.2506,33.242,40.7587,40.7887,1.03034,1.00074
TrackA/150,1790,7.19185,8.34467,16.031,15.5654,0.86185,0.970954
